Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Remoteness,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Description8,Uncertainty,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Total,Aust
CtG14A.5,2017-2021,Mortality due to suicide,45,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,45+ years old,,ABS (unpublished) Causes of Death Australia,rate,14,np,18.3,16.6,15.2,np,np,19.4,15.8,
CtG14A.5,2017-2021,Mortality due to suicide,5,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,5-17 years old,,ABS (unpublished) Causes of Death Australia,no.,17,1,27,16,4,0,0,14,np,
CtG14A.5,2017-2021,Mortality due to suicide,5,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,5-17 years old,,ABS (unpublished) Causes of Death Australia,no.,17,1,27,16,4,0,0,14,np,
CtG14A.5,2017-2021,Mortality due to suicide,5,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,5-17 years old,,ABS (unpublished) Causes of Death Australia,no.,17,1,27,16,4,0,0,14,np,
CtG14A.5,2017-2021,Mortality due to suicide,5,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,5-17 years old,,ABS (unpublished) Causes of Death Australia,no.,17,1,27,16,4,0,0,14,np,
CtG14A.5,2017-2021,Mortality due to suicide,5,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,5-17 years old,,ABS (unpublished) Causes of Death Australia,no.,17,1,27,16,4,0,0,14,np,
CtG14A.5,2017-2021,Mortality due to suicide,18,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,18-24 years old,,ABS (unpublished) Causes of Death Australia,no.,50,11,106,31,16,1,5,44,np,
CtG14A.5,2017-2021,Mortality due to suicide,18,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,18-24 years old,,ABS (unpublished) Causes of Death Australia,no.,50,11,106,31,16,1,5,44,np,
CtG14A.5,2017-2021,Mortality due to suicide,18,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,18-24 years old,,ABS (unpublished) Causes of Death Australia,no.,50,11,106,31,16,1,5,44,np,
CtG14A.5,2017-2021,Mortality due to suicide,18,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,18-24 years old,,ABS (unpublished) Causes of Death Australia,no.,50,11,106,31,16,1,5,44,np,
CtG14A.5,2017-2021,Mortality due to suicide,18,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,18-24 years old,,ABS (unpublished) Causes of Death Australia,no.,50,11,106,31,16,1,5,44,np,
CtG14A.5,2017-2021,Mortality due to suicide,25,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,25-34 years old,,ABS (unpublished) Causes of Death Australia,no.,67,24,80,72,12,5,1,35,np,
CtG14A.5,2017-2021,Mortality due to suicide,25,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,25-34 years old,,ABS (unpublished) Causes of Death Australia,no.,67,24,80,72,12,5,1,35,np,
CtG14A.5,2017-2021,Mortality due to suicide,25,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,25-34 years old,,ABS (unpublished) Causes of Death Australia,no.,67,24,80,72,12,5,1,35,np,
CtG14A.5,2017-2021,Mortality due to suicide,25,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,25-34 years old,,ABS (unpublished) Causes of Death Australia,no.,67,24,80,72,12,5,1,35,np,
CtG14A.5,2017-2021,Mortality due to suicide,25,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,25-34 years old,,ABS (unpublished) Causes of Death Australia,no.,67,24,80,72,12,5,1,35,np,
CtG14A.5,2017-2021,Mortality due to suicide,35,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,35-44 years old,,ABS (unpublished) Causes of Death Australia,no.,55,13,63,38,13,0,1,19,np,
CtG14A.5,2017-2021,Mortality due to suicide,35,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,35-44 years old,,ABS (unpublished) Causes of Death Australia,no.,55,13,63,38,13,0,1,19,np,
CtG14A.5,2017-2021,Mortality due to suicide,35,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,35-44 years old,,ABS (unpublished) Causes of Death Australia,no.,55,13,63,38,13,0,1,19,np,
CtG14A.5,2017-2021,Mortality due to suicide,35,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,35-44 years old,,ABS (unpublished) Causes of Death Australia,no.,55,13,63,38,13,0,1,19,np,
CtG14A.5,2017-2021,Mortality due to suicide,35,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,35-44 years old,,ABS (unpublished) Causes of Death Australia,no.,55,13,63,38,13,0,1,19,np,
CtG14A.5,2017-2021,Mortality due to suicide,45,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,45+ years old,,ABS (unpublished) Causes of Death Australia,no.,63,18,42,22,7,3,4,17,np,
CtG14A.5,2017-2021,Mortality due to suicide,45,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,45+ years old,,ABS (unpublished) Causes of Death Australia,no.,63,18,42,22,7,3,4,17,np,
CtG14A.5,2017-2021,Mortality due to suicide,45,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,45+ years old,,ABS (unpublished) Causes of Death Australia,no.,63,18,42,22,7,3,4,17,np,
CtG14A.5,2017-2021,Mortality due to suicide,45,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,45+ years old,,ABS (unpublished) Causes of Death Australia,no.,63,18,42,22,7,3,4,17,np,
CtG14A.5,2017-2021,Mortality due to suicide,45,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,45+ years old,,ABS (unpublished) Causes of Death Australia,no.,63,18,42,22,7,3,4,17,np,
CtG14A.5,2016-2020,Mortality due to suicide,5,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,5-17 years old,,ABS (unpublished) Causes of Death Australia,rate,4.3,np,7.9,13.2,np,np,np,13.7,7.7,
CtG14A.5,2016-2020,Mortality due to suicide,5,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,5-17 years old,,ABS (unpublished) Causes of Death Australia,rate,4.3,np,7.9,13.2,np,np,np,13.7,7.7,
CtG14A.5,2016-2020,Mortality due to suicide,5,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,5-17 years old,,ABS (unpublished) Causes of Death Australia,rate,4.3,np,7.9,13.2,np,np,np,13.7,7.7,
CtG14A.5,2016-2020,Mortality due to suicide,5,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,5-17 years old,,ABS (unpublished) Causes of Death Australia,rate,4.3,np,7.9,13.2,np,np,np,13.7,7.7,
CtG14A.5,2016-2020,Mortality due to suicide,5,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,5-17 years old,,ABS (unpublished) Causes of Death Australia,rate,4.3,np,7.9,13.2,np,np,np,13.7,7.7,
CtG14A.5,2016-2020,Mortality due to suicide,18,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,18-24 years old,,ABS (unpublished) Causes of Death Australia,rate,28.5,np,70.1,57,37.4,np,np,81.7,51.6,
CtG14A.5,2016-2020,Mortality due to suicide,18,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,18-24 years old,,ABS (unpublished) Causes of Death Australia,rate,28.5,np,70.1,57,37.4,np,np,81.7,51.6,
CtG14A.5,2016-2020,Mortality due to suicide,18,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,18-24 years old,,ABS (unpublished) Causes of Death Australia,rate,28.5,np,70.1,57,37.4,np,np,81.7,51.6,
CtG14A.5,2016-2020,Mortality due to suicide,18,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,18-24 years old,,ABS (unpublished) Causes of Death Australia,rate,28.5,np,70.1,57,37.4,np,np,81.7,51.6,
CtG14A.5,2016-2020,Mortality due to suicide,18,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,18-24 years old,,ABS (unpublished) Causes of Death Australia,rate,28.5,np,70.1,57,37.4,np,np,81.7,51.6,
CtG14A.5,2016-2020,Mortality due to suicide,25,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,25-34 years old,,ABS (unpublished) Causes of Death Australia,rate,29.5,np,47.1,86.9,23.8,np,np,54,46.4,
CtG14A.5,2016-2020,Mortality due to suicide,25,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,25-34 years old,,ABS (unpublished) Causes of Death Australia,rate,29.5,np,47.1,86.9,23.8,np,np,54,46.4,
CtG14A.5,2016-2020,Mortality due to suicide,25,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,25-34 years old,,ABS (unpublished) Causes of Death Australia,rate,29.5,np,47.1,86.9,23.8,np,np,54,46.4,
CtG14A.5,2016-2020,Mortality due to suicide,25,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,25-34 years old,,ABS (unpublished) Causes of Death Australia,rate,29.5,np,47.1,86.9,23.8,np,np,54,46.4,
CtG14A.5,2016-2020,Mortality due to suicide,25,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,25-34 years old,,ABS (unpublished) Causes of Death Australia,rate,29.5,np,47.1,86.9,23.8,np,np,54,46.4,
CtG14A.5,2016-2020,Mortality due to suicide,35,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,35-44 years old,,ABS (unpublished) Causes of Death Australia,rate,35.3,np,52,52.5,54.1,np,np,41.5,45,
CtG14A.5,2016-2020,Mortality due to suicide,35,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,35-44 years old,,ABS (unpublished) Causes of Death Australia,rate,35.3,np,52,52.5,54.1,np,np,41.5,45,
CtG14A.5,2016-2020,Mortality due to suicide,35,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,35-44 years old,,ABS (unpublished) Causes of Death Australia,rate,35.3,np,52,52.5,54.1,np,np,41.5,45,
CtG14A.5,2016-2020,Mortality due to suicide,35,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,35-44 years old,,ABS (unpublished) Causes of Death Australia,rate,35.3,np,52,52.5,54.1,np,np,41.5,45,
CtG14A.5,2016-2020,Mortality due to suicide,35,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,35-44 years old,,ABS (unpublished) Causes of Death Australia,rate,35.3,np,52,52.5,54.1,np,np,41.5,45,
CtG14A.5,2016-2020,Mortality due to suicide,45,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,45+ years old,,ABS (unpublished) Causes of Death Australia,rate,20.6,np,15.8,15.4,15,np,np,16.5,17.7,
CtG14A.5,2016-2020,Mortality due to suicide,45,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,45+ years old,,ABS (unpublished) Causes of Death Australia,rate,20.6,np,15.8,15.4,15,np,np,16.5,17.7,
CtG14A.5,2016-2020,Mortality due to suicide,45,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,45+ years old,,ABS (unpublished) Causes of Death Australia,rate,20.6,np,15.8,15.4,15,np,np,16.5,17.7,
CtG14A.5,2016-2020,Mortality due to suicide,45,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,45+ years old,,ABS (unpublished) Causes of Death Australia,rate,20.6,np,15.8,15.4,15,np,np,16.5,17.7,
CtG14A.5,2016-2020,Mortality due to suicide,45,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,45+ years old,,ABS (unpublished) Causes of Death Australia,rate,20.6,np,15.8,15.4,15,np,np,16.5,17.7,
CtG14A.5,2016-2020,Mortality due to suicide,5,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,5-17 years old,,ABS (unpublished) Causes of Death Australia,rate,2,np,2.6,2.4,1.9,np,np,4.8,2.2,
CtG14A.5,2016-2020,Mortality due to suicide,5,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,5-17 years old,,ABS (unpublished) Causes of Death Australia,rate,2,np,2.6,2.4,1.9,np,np,4.8,2.2,
CtG14A.5,2016-2020,Mortality due to suicide,5,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,5-17 years old,,ABS (unpublished) Causes of Death Australia,rate,2,np,2.6,2.4,1.9,np,np,4.8,2.2,
CtG14A.5,2016-2020,Mortality due to suicide,5,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,5-17 years old,,ABS (unpublished) Causes of Death Australia,rate,2,np,2.6,2.4,1.9,np,np,4.8,2.2,
CtG14A.5,2016-2020,Mortality due to suicide,5,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,5-17 years old,,ABS (unpublished) Causes of Death Australia,rate,2,np,2.6,2.4,1.9,np,np,4.8,2.2,
CtG14A.5,2016-2020,Mortality due to suicide,18,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,18-24 years old,,ABS (unpublished) Causes of Death Australia,rate,11.8,np,16.9,14.9,13.9,np,np,23.5,14,
CtG14A.5,2016-2020,Mortality due to suicide,18,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,18-24 years old,,ABS (unpublished) Causes of Death Australia,rate,11.8,np,16.9,14.9,13.9,np,np,23.5,14,
CtG14A.5,2016-2020,Mortality due to suicide,18,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,18-24 years old,,ABS (unpublished) Causes of Death Australia,rate,11.8,np,16.9,14.9,13.9,np,np,23.5,14,
CtG14A.5,2016-2020,Mortality due to suicide,18,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,18-24 years old,,ABS (unpublished) Causes of Death Australia,rate,11.8,np,16.9,14.9,13.9,np,np,23.5,14,
CtG14A.5,2016-2020,Mortality due to suicide,18,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,18-24 years old,,ABS (unpublished) Causes of Death Australia,rate,11.8,np,16.9,14.9,13.9,np,np,23.5,14,
CtG14A.5,2016-2020,Mortality due to suicide,25,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,25-34 years old,,ABS (unpublished) Causes of Death Australia,rate,12.5,np,17.9,19.1,17.4,np,np,11.7,15.4,
CtG14A.5,2016-2020,Mortality due to suicide,25,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,25-34 years old,,ABS (unpublished) Causes of Death Australia,rate,12.5,np,17.9,19.1,17.4,np,np,11.7,15.4,
CtG14A.5,2016-2020,Mortality due to suicide,25,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,25-34 years old,,ABS (unpublished) Causes of Death Australia,rate,12.5,np,17.9,19.1,17.4,np,np,11.7,15.4,
CtG14A.5,2016-2020,Mortality due to suicide,25,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,25-34 years old,,ABS (unpublished) Causes of Death Australia,rate,12.5,np,17.9,19.1,17.4,np,np,11.7,15.4,
CtG14A.5,2016-2020,Mortality due to suicide,25,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,25-34 years old,,ABS (unpublished) Causes of Death Australia,rate,12.5,np,17.9,19.1,17.4,np,np,11.7,15.4,
CtG14A.5,2016-2020,Mortality due to suicide,35,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,35-44 years old,,ABS (unpublished) Causes of Death Australia,rate,14.5,np,22.1,18.8,18.1,np,np,13.2,17.6,
CtG14A.5,2016-2020,Mortality due to suicide,35,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,35-44 years old,,ABS (unpublished) Causes of Death Australia,rate,14.5,np,22.1,18.8,18.1,np,np,13.2,17.6,
CtG14A.5,2016-2020,Mortality due to suicide,35,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,35-44 years old,,ABS (unpublished) Causes of Death Australia,rate,14.5,np,22.1,18.8,18.1,np,np,13.2,17.6,
CtG14A.5,2016-2020,Mortality due to suicide,35,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,35-44 years old,,ABS (unpublished) Causes of Death Australia,rate,14.5,np,22.1,18.8,18.1,np,np,13.2,17.6,
CtG14A.5,2016-2020,Mortality due to suicide,35,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,35-44 years old,,ABS (unpublished) Causes of Death Australia,rate,14.5,np,22.1,18.8,18.1,np,np,13.2,17.6,
CtG14A.5,2016-2020,Mortality due to suicide,45,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,45+ years old,,ABS (unpublished) Causes of Death Australia,rate,13.8,np,17.9,16.5,15.2,np,np,20.8,15.6,
CtG14A.5,2016-2020,Mortality due to suicide,45,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,45+ years old,,ABS (unpublished) Causes of Death Australia,rate,13.8,np,17.9,16.5,15.2,np,np,20.8,15.6,
CtG14A.5,2016-2020,Mortality due to suicide,45,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,45+ years old,,ABS (unpublished) Causes of Death Australia,rate,13.8,np,17.9,16.5,15.2,np,np,20.8,15.6,
CtG14A.5,2016-2020,Mortality due to suicide,45,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,45+ years old,,ABS (unpublished) Causes of Death Australia,rate,13.8,np,17.9,16.5,15.2,np,np,20.8,15.6,
CtG14A.5,2016-2020,Mortality due to suicide,45,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,45+ years old,,ABS (unpublished) Causes of Death Australia,rate,13.8,np,17.9,16.5,15.2,np,np,20.8,15.6,
CtG14A.5,2016-2020,Mortality due to suicide,5,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,5-17 years old,,ABS (unpublished) Causes of Death Australia,no.,17,3,27,19,2,0,0,13,np,
CtG14A.5,2016-2020,Mortality due to suicide,5,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,5-17 years old,,ABS (unpublished) Causes of Death Australia,no.,17,3,27,19,2,0,0,13,np,
CtG14A.5,2016-2020,Mortality due to suicide,5,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,5-17 years old,,ABS (unpublished) Causes of Death Australia,no.,17,3,27,19,2,0,0,13,np,
CtG14A.5,2016-2020,Mortality due to suicide,5,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,5-17 years old,,ABS (unpublished) Causes of Death Australia,no.,17,3,27,19,2,0,0,13,np,
CtG14A.5,2016-2020,Mortality due to suicide,5,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,5-17 years old,,ABS (unpublished) Causes of Death Australia,no.,17,3,27,19,2,0,0,13,np,
CtG14A.5,2016-2020,Mortality due to suicide,18,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,18-24 years old,,ABS (unpublished) Causes of Death Australia,no.,52,12,107,38,11,3,5,39,np,
CtG14A.5,2016-2020,Mortality due to suicide,18,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,18-24 years old,,ABS (unpublished) Causes of Death Australia,no.,52,12,107,38,11,3,5,39,np,
CtG14A.5,2016-2020,Mortality due to suicide,18,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,18-24 years old,,ABS (unpublished) Causes of Death Australia,no.,52,12,107,38,11,3,5,39,np,
CtG14A.5,2016-2020,Mortality due to suicide,18,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,18-24 years old,,ABS (unpublished) Causes of Death Australia,no.,52,12,107,38,11,3,5,39,np,
CtG14A.5,2016-2020,Mortality due to suicide,18,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,18-24 years old,,ABS (unpublished) Causes of Death Australia,no.,52,12,107,38,11,3,5,39,np,
CtG14A.5,2016-2020,Mortality due to suicide,25,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,25-34 years old,,ABS (unpublished) Causes of Death Australia,no.,57,17,77,73,8,1,4,36,np,
CtG14A.5,2016-2020,Mortality due to suicide,25,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,25-34 years old,,ABS (unpublished) Causes of Death Australia,no.,57,17,77,73,8,1,4,36,np,
CtG14A.5,2016-2020,Mortality due to suicide,25,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,25-34 years old,,ABS (unpublished) Causes of Death Australia,no.,57,17,77,73,8,1,4,36,np,
CtG14A.5,2016-2020,Mortality due to suicide,25,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,25-34 years old,,ABS (unpublished) Causes of Death Australia,no.,57,17,77,73,8,1,4,36,np,
CtG14A.5,2016-2020,Mortality due to suicide,25,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,25-34 years old,,ABS (unpublished) Causes of Death Australia,no.,57,17,77,73,8,1,4,36,np,
CtG14A.5,2016-2020,Mortality due to suicide,35,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,35-44 years old,,ABS (unpublished) Causes of Death Australia,no.,48,12,63,31,12,1,3,21,np,
CtG14A.5,2016-2020,Mortality due to suicide,35,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,35-44 years old,,ABS (unpublished) Causes of Death Australia,no.,48,12,63,31,12,1,3,21,np,
CtG14A.5,2016-2020,Mortality due to suicide,35,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,35-44 years old,,ABS (unpublished) Causes of Death Australia,no.,48,12,63,31,12,1,3,21,np,
